,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1985,9115000000,6718000000,2397000000,0.2630,,,,1140000000,362000000,1502000000,8220000000,,,362000000,585000000,0.0642,895000000,0.0982,-672000000,223000000,0.0245,502000000,-279000000,-0.0306,-0.82,-0.82,700776000,700776000,1125000000,,1125000000,1407000000,2125000000,303000000,4960000000,3153000000,,1416000000,1416000000,,,3742000000,8311000000,,13271000000,,487000000,,,2531000000,3018000000,2086000000,,377000000,1957000000,4420000000,,,7438000000,,,938000000,-1244000000,6139000000,5833000000,13271000000,,13271000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,11794000000,8743000000,3051000000,0.2587,,,,1631000000,368000000,1999000000,10742000000,,,368000000,1275000000,0.1081,1052000000,0.0892,-145000000,907000000,0.0769,302000000,605000000,0.0513,0.82,0.82,698780488,698780488,193000000,,193000000,1501000000,2451000000,461000000,4606000000,3514000000,,1990000000,1990000000,,,1158000000,6662000000,,11268000000,,853000000,,,2802000000,3655000000,2127000000,,569000000,1247000000,3943000000,,,7598000000,,,1155000000,-1632000000,4147000000,3670000000,11268000000,,11268000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,11116000000,8562000000,2554000000,0.2298,,,,1457000000,347000000,1804000000,10366000000,,,347000000,1107000000,0.0996,750000000,0.0675,7000000,757000000,0.0681,242000000,518000000,0.0466,0.78,0.78,662820513,662820513,349000000,,349000000,1493000000,2060000000,182000000,4084000000,3330000000,,1547000000,1547000000,,,1265000000,6142000000,,10226000000,,497000000,,,2965000000,3462000000,2017000000,,706000000,912000000,3635000000,,,7097000000,,,1503000000,-1896000000,3522000000,3129000000,10226000000,,10226000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,11909000000,9190000000,2719000000,0.2283,,,,1600000000,416000000,2016000000,11206000000,,,416000000,1055000000,0.0886,703000000,0.0590,-64000000,639000000,0.0537,176000000,463000000,0.0389,0.78,0.78,593589744,593589744,397000000,,397000000,1492000000,2061000000,167000000,4117000000,3214000000,,1378000000,1378000000,,,1296000000,5888000000,,10005000000,,260000000,,,2942000000,3202000000,2044000000,,717000000,774000000,3535000000,,,6737000000,,,1671000000,-2126000000,3723000000,3268000000,10005000000,,10005000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,11942000000,9239000000,2703000000,0.2263,,,,1333000000,424000000,1757000000,10996000000,,,424000000,1193000000,0.0999,946000000,0.0792,-177000000,769000000,0.0644,241000000,528000000,0.0442,0.89,0.89,593258427,593258427,525000000,,525000000,1443000000,2063000000,110000000,4141000000,3321000000,,1318000000,1318000000,,,1352000000,5991000000,,10132000000,1132000000,479000000,,,1616000000,3227000000,1903000000,,722000000,868000000,3493000000,,,6720000000,,,1923000000,-2482000000,3971000000,3412000000,10132000000,,10132000000,528000000,424000000,36000000,,-40000000,,-14000000,,914000000,83000000,1031000000,-541000000,,-70000000,,88000000,-523000000,,14000000,-208000000,-268000000,82000000,-380000000,,,,397000000,490000000
1990,12343000000,9766000000,2577000000,0.2088,,,,1387000000,460000000,1847000000,11613000000,,,460000000,1062000000,0.0860,730000000,0.0591,-128000000,602000000,0.0488,140000000,462000000,0.0374,0.84,0.84,550000000,550000000,382000000,,382000000,1452000000,2168000000,314000000,4316000000,3584000000,,1107000000,1107000000,,,1449000000,6140000000,,10456000000,1256000000,697000000,,,1471000000,3424000000,2051000000,,673000000,928000000,3652000000,,,7076000000,,,2113000000,-2851000000,4118000000,3380000000,10456000000,,10456000000,462000000,460000000,17000000,,-22000000,,-53000000,,892000000,85000000,1002000000,-675000000,,-66000000,,13000000,-728000000,,12000000,-461000000,-248000000,280000000,-417000000,,,,525000000,327000000
1991,11831000000,9408000000,2423000000,0.2048,,,,2210000000,504000000,2714000000,12122000000,,,504000000,114000000,0.0096,-291000000,-0.0246,-99000000,-390000000,-0.0330,-117000000,-273000000,-0.0231,-0.50,-0.50,546000000,546000000,238000000,,238000000,1445000000,1996000000,450000000,4129000000,3638000000,,1099000000,1099000000,,,1516000000,6253000000,,10382000000,1073000000,881000000,,,1649000000,3603000000,1914000000,,593000000,1289000000,3796000000,,,7399000000,,,1594000000,-3224000000,4613000000,2983000000,10382000000,,10382000000,-273000000,504000000,-196000000,,-366000000,,153000000,,526000000,1081000000,750000000,-668000000,,-17000000,,-37000000,-722000000,,30000000,,-218000000,16000000,-172000000,,,,382000000,82000000
1992,12042000000,9394000000,2648000000,0.2199,,,,1704000000,529000000,2233000000,11627000000,,,529000000,-16000000,-0.0013,415000000,0.0345,287000000,702000000,0.0583,167000000,-712000000,-0.0591,-1.26,-1.26,565079365,565079365,931000000,,931000000,1529000000,1871000000,588000000,4919000000,3897000000,,1048000000,1048000000,,,892000000,5837000000,,10756000000,1221000000,336000000,,,1948000000,3505000000,1777000000,,412000000,2811000000,5000000000,,,8505000000,,,747000000,-3732000000,5236000000,2251000000,10756000000,,10756000000,-712000000,529000000,83000000,,888000000,,130000000,,1414000000,281000000,1069000000,-691000000,,-18000000,,982000000,273000000,,244000000,-142000000,-143000000,-608000000,-649000000,,,,238000000,378000000
1993,11827000000,9004000000,2823000000,0.2387,,,,1338000000,547000000,1885000000,10889000000,,,547000000,1212000000,0.1025,938000000,0.0793,-28000000,910000000,0.0769,254000000,411000000,0.0348,0.73,0.73,563013699,563013699,892000000,,892000000,1343000000,1745000000,587000000,4567000000,4094000000,,1087000000,1087000000,,,1081000000,6262000000,,10829000000,1207000000,358000000,,,1924000000,3489000000,1602000000,,339000000,3009000000,4950000000,,,8439000000,,,1023000000,-4074000000,5441000000,2390000000,10829000000,,10829000000,411000000,547000000,110000000,,-336000000,,123000000,,1078000000,448000000,1180000000,-718000000,,-71000000,,-30000000,-819000000,,143000000,-229000000,-162000000,-152000000,-400000000,,,,931000000,462000000
1994,12817000000,10299000000,2518000000,0.1965,,,,1366000000,,1366000000,11665000000,,,560000000,1671000000,0.1304,1152000000,0.0899,-41000000,1111000000,0.0867,352000000,759000000,0.0592,1.34,1.34,566417910,567150000,508000000,,508000000,1697000000,1743000000,637000000,4585000000,4260000000,1349000000,,1349000000,,,1127000000,6736000000,,11321000000,1296000000,263000000,,,1832000000,3391000000,1424000000,,406000000,3118000000,4948000000,,,8339000000,,358000000,1613000000,-4532000000,5543000000,2982000000,11321000000,,11321000000,759000000,560000000,180000000,,116000000,,134000000,,1194000000,-572000000,1043000000,-639000000,-531000000,,90000000,208000000,-872000000,,43000000,-110000000,-180000000,-308000000,-555000000,,-384000000,508000000,892000000,404000000
